"","name","data","NC","props","valueType","aggregationType","model","command","path"
"114","simtestis_NC400_dp10_vstresiduals_Mean_limmaTrend","simtestis","NC400","dp10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_dp10_vstresiduals_Mean)","dataOutput/modelResults/simtestis_NC400_dp10_vstresiduals_Mean_limmaTrend.rds"
"115","simtestis_NC400_dp10_counts_None_MMdream2","simtestis","NC400","dp10","counts","None","MMdream2","apply_MM_dream2(simtestis_NC400_dp10_counts_None)","dataOutput/modelResults/simtestis_NC400_dp10_counts_None_MMdream2.rds"
"116","simtestis_NC400_dp10_counts_None_MMvst","simtestis","NC400","dp10","counts","None","MMvst","apply_MM_vst(simtestis_NC400_dp10_counts_None)","dataOutput/modelResults/simtestis_NC400_dp10_counts_None_MMvst.rds"
"117","simtestis_NC400_dp10_logcounts_Mean_limmaTrend","simtestis","NC400","dp10","logcounts","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_dp10_logcounts_Mean)","dataOutput/modelResults/simtestis_NC400_dp10_logcounts_Mean_limmaTrend.rds"
"118","simtestis_NC100_de10_logcounts_Mean_limmaTrend","simtestis","NC100","de10","logcounts","Mean","limmaTrend","apply_limma_trend(simtestis_NC100_de10_logcounts_Mean)","dataOutput/modelResults/simtestis_NC100_de10_logcounts_Mean_limmaTrend.rds"
"119","simtestis_NC100_de10_counts_Sum_edgeR","simtestis","NC100","de10","counts","Sum","edgeR","apply_edgeR(simtestis_NC100_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC100_de10_counts_Sum_edgeR.rds"
"120","simtestis_NC100_de10_counts_Sum_limmaVoom","simtestis","NC100","de10","counts","Sum","limmaVoom","apply_limma_voom(simtestis_NC100_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC100_de10_counts_Sum_limmaVoom.rds"
"121","simtestis_NC100_de10_counts_Sum_DESeq2","simtestis","NC100","de10","counts","Sum","DESeq2","apply_DESeq2(simtestis_NC100_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC100_de10_counts_Sum_DESeq2.rds"
"122","simtestis_NC100_de10_counts_None_MMdream2","simtestis","NC100","de10","counts","None","MMdream2","apply_MM_dream2(simtestis_NC100_de10_counts_None)","dataOutput/modelResults/simtestis_NC100_de10_counts_None_MMdream2.rds"
"123","simtestis_NC100_de10_counts_None_MMvst","simtestis","NC100","de10","counts","None","MMvst","apply_MM_vst(simtestis_NC100_de10_counts_None)","dataOutput/modelResults/simtestis_NC100_de10_counts_None_MMvst.rds"
"124","simtestis_NC100_de10_cpm_Sum_edgeR","simtestis","NC100","de10","cpm","Sum","edgeR","apply_edgeR(simtestis_NC100_de10_cpm_Sum)","dataOutput/modelResults/simtestis_NC100_de10_cpm_Sum_edgeR.rds"
"125","simtestis_NC100_de10_vstresiduals_Mean_limmaTrend","simtestis","NC100","de10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simtestis_NC100_de10_vstresiduals_Mean)","dataOutput/modelResults/simtestis_NC100_de10_vstresiduals_Mean_limmaTrend.rds"
"126","simtestis_NC100_de10_logcounts_None_scDD","simtestis","NC100","de10","logcounts","None","scDD","apply_scdd(simtestis_NC100_de10_logcounts_None)","dataOutput/modelResults/simtestis_NC100_de10_logcounts_None_scDD.rds"
"127","simtestis_NC400_dm10_counts_None_MMdream2","simtestis","NC400","dm10","counts","None","MMdream2","apply_MM_dream2(simtestis_NC400_dm10_counts_None)","dataOutput/modelResults/simtestis_NC400_dm10_counts_None_MMdream2.rds"
"128","simtestis_NC400_dm10_counts_None_MMvst","simtestis","NC400","dm10","counts","None","MMvst","apply_MM_vst(simtestis_NC400_dm10_counts_None)","dataOutput/modelResults/simtestis_NC400_dm10_counts_None_MMvst.rds"
"129","simtestis_NC400_dm10_counts_Sum_DESeq2","simtestis","NC400","dm10","counts","Sum","DESeq2","apply_DESeq2(simtestis_NC400_dm10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_dm10_counts_Sum_DESeq2.rds"
"130","simtestis_NC400_dm10_counts_Sum_edgeR","simtestis","NC400","dm10","counts","Sum","edgeR","apply_edgeR(simtestis_NC400_dm10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_dm10_counts_Sum_edgeR.rds"
"131","simtestis_NC400_dm10_counts_Sum_limmaVoom","simtestis","NC400","dm10","counts","Sum","limmaVoom","apply_limma_voom(simtestis_NC400_dm10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_dm10_counts_Sum_limmaVoom.rds"
"132","simtestis_NC400_dm10_logcounts_None_scDD","simtestis","NC400","dm10","logcounts","None","scDD","apply_scdd(simtestis_NC400_dm10_logcounts_None)","dataOutput/modelResults/simtestis_NC400_dm10_logcounts_None_scDD.rds"
"133","simtestis_NC400_dm10_vstresiduals_Mean_limmaTrend","simtestis","NC400","dm10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_dm10_vstresiduals_Mean)","dataOutput/modelResults/simtestis_NC400_dm10_vstresiduals_Mean_limmaTrend.rds"
"134","simtestis_NC400_dm10_logcounts_Mean_limmaTrend","simtestis","NC400","dm10","logcounts","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_dm10_logcounts_Mean)","dataOutput/modelResults/simtestis_NC400_dm10_logcounts_Mean_limmaTrend.rds"
"135","simtestis_NC400_dm10_cpm_Sum_edgeR","simtestis","NC400","dm10","cpm","Sum","edgeR","apply_edgeR(simtestis_NC400_dm10_cpm_Sum)","dataOutput/modelResults/simtestis_NC400_dm10_cpm_Sum_edgeR.rds"
"136","simtestis_NC400_db10_counts_Sum_DESeq2","simtestis","NC400","db10","counts","Sum","DESeq2","apply_DESeq2(simtestis_NC400_db10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_db10_counts_Sum_DESeq2.rds"
"137","simtestis_NC400_db10_counts_Sum_edgeR","simtestis","NC400","db10","counts","Sum","edgeR","apply_edgeR(simtestis_NC400_db10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_db10_counts_Sum_edgeR.rds"
"138","simtestis_NC400_db10_counts_Sum_limmaVoom","simtestis","NC400","db10","counts","Sum","limmaVoom","apply_limma_voom(simtestis_NC400_db10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_db10_counts_Sum_limmaVoom.rds"
